DESCRIPTION,RATING,REVIEWS COUNT,IMAGE,LINK,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06
"Samsung Galaxy M31 Prime Edition (Space Black, 6GB RAM, 128GB)",4.2 out of 5 stars,"132,792",https://images-na.ssl-images-amazon.com/images/I/71zb0UaK0PL._SY879_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A066826523L6L4UWOF2H6&url=%2FSamsung-Galaxy-Prime-Space-Storage%2Fdp%2FB085J1D8BH%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346885%26sr%3D8-1-spons%26psc%3D1&qualifier=1612346885&id=8455987155997923&widgetName=sp_atf,16499,15999,unavailable,unavailable,unavailable,15999,15999,16499,16499,16499,unavailable,unavailable,15999,unavailable,15999,16499,16499,16499,16499,16499,15999,unavailable,unavailable,16499,16499,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB)",4.4 out of 5 stars,"31,627",https://images-na.ssl-images-amazon.com/images/I/710weRkP-nL._SY879_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A001905017M56YG5OE548&url=%2FSamsung-Galaxy-Electric-Blue-128GB-Storage%2Fdp%2FB085J1J32G%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346885%26sr%3D8-2-spons%26psc%3D1&qualifier=1612346885&id=8455987155997923&widgetName=sp_atf,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,"22,999.00"
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB)",4.2 out of 5 stars,"89,957",https://images-na.ssl-images-amazon.com/images/I/71dujTTJDZL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Midnight-Blue-Storage/dp/B07HGJJ559/ref=sr_1_3?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-3,13999,13999,13999,13999,13999,13999,13999,13999,13999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,13999,13999,12999,12999,12999,"13,999.00"
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB)",4.2 out of 5 stars,"132,792",https://images-na.ssl-images-amazon.com/images/I/71-Su4Wr0HL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HGGYWL6/ref=sr_1_4?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-4,16499,unavailable,unavailable,unavailable,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,"16,499.00"
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB)",3.9 out of 5 stars,"10,168",https://images-na.ssl-images-amazon.com/images/I/81onqHVeECL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCMCP/ref=sr_1_5?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-5,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7775,7499,8050,8050,7499,7499,8990,8290,8145,"8,145.00"
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB)",3.4 out of 5 stars,"9,362",https://images-na.ssl-images-amazon.com/images/I/71AYb2AGHXL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ622N/ref=sr_1_6?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-6,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,"5,999.00"
"Samsung Galaxy M31 Prime Edition (Space Black, 6GB RAM, 128GB)",4.2 out of 5 stars,"132,792",https://images-na.ssl-images-amazon.com/images/I/71zb0UaK0PL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Prime-Space-Storage/dp/B085J1D8BH/ref=sr_1_7?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-7,16499,15999,unavailable,unavailable,unavailable,15999,15999,16499,16499,16499,unavailable,unavailable,15999,unavailable,15999,15999,16499,16499,15999,16499,15999,unavailable,unavailable,16499,16499,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy M01 (Blue, 3GB RAM, 32GB)",3.9 out of 5 stars,"10,168",https://images-na.ssl-images-amazon.com/images/I/81o1rDu5FZL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCDGTQ/ref=sr_1_8?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-8,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7999,8499,7499,unavailable,7499,7499,7499,7499,7715,7999,7499,7950,7950,8425,8425,7499,"8,750.00"
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB)",4.2 out of 5 stars,"89,957",https://images-na.ssl-images-amazon.com/images/I/71QLvGIAq5L._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Raven-Black-Storage/dp/B07HGH8D2R/ref=sr_1_9?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-9,13999,13999,13999,13999,13999,13999,13999,13999,13999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,13999,13999,12999,12999,12999,"13,999.00"
"Samsung Galaxy M31s (Mirage Blue, 6GB RAM, 128GB)",4.3 out of 5 stars,"42,626",https://images-na.ssl-images-amazon.com/images/I/61d-phh4GfL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Mirage-128GB-Storage/dp/B07DJCJBB3/ref=sr_1_10?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-10,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,18499,18499,18499,18499,18499,18499,18499,18499,"18,499.00"
